timestamp,OSCaddress,typetag,timetag,,,
793,/motion/s1/aaWorld,iii,780,3465,6252,
793,/motion/s1/aaReal,iii,3828,-4831,-3704,
793,/motion/s1/aa,iii,7100,-12310,-4398,
793,/motion/s1/ypr,fff,199.71396,156.46448,264.70334,
794,/motion/s1/quat,ffff,-0.34552002,0.09289551,0.7305908,-0.581604
794,/motion/s1/aaWorld,iii,319,3450,6424,
794,/motion/s1/aaReal,iii,4167,-4900,-3451,
794,/motion/s1/aa,iii,7418,-12388,-4146,
794,/motion/s1/ypr,fff,199.68591,156.62202,264.70288,
802,/motion/s1/quat,ffff,-0.33984375,0.087768555,0.7312012,-0.58496094
802,/motion/s1/aaWorld,iii,-139,3200,6556,
802,/motion/s1/aaReal,iii,4373,-5001,-3018,
802,/motion/s1/aa,iii,7604,-12498,-3712,
802,/motion/s1/ypr,fff,199.6601,156.77808,264.7128,
814,/motion/s1/quat,ffff,-0.33422852,0.08258057,0.7316284,-0.5883789
814,/motion/s1/aaWorld,iii,-45,3206,6567,
814,/motion/s1/aaReal,iii,4257,-5062,-3110,
814,/motion/s1/aa,iii,7468,-12568,-3800,
814,/motion/s1/ypr,fff,199.65314,156.92812,264.74884,
826,/motion/s1/quat,ffff,-0.32867432,0.07757568,0.73205566,-0.59161377
826,/motion/s1/aaWorld,iii,377,3477,6616,
826,/motion/s1/aaReal,iii,4033,-5172,-3606,
826,/motion/s1/aa,iii,7224,-12686,-4294,
826,/motion/s1/ypr,fff,199.62979,157.08017,264.77402,
835,/motion/s1/quat,ffff,-0.32305908,0.072509766,0.73254395,-0.5947876
835,/motion/s1/aaWorld,iii,420,3552,6466,
835,/motion/s1/aaReal,iii,3917,-5053,-3706,
835,/motion/s1/aa,iii,7088,-12576,-4392,
835,/motion/s1/ypr,fff,199.60374,157.2291,264.7895,
846,/motion/s1/quat,ffff,-0.31732178,0.06738281,0.73309326,-0.5977783
846,/motion/s1/aaWorld,iii,682,4042,6307,
846,/motion/s1/aaReal,iii,3820,-4873,-4272,
846,/motion/s1/aa,iii,6972,-12404,-4960,
846,/motion/s1/ypr,fff,199.56396,157.37527,264.78278,
859,/motion/s1/quat,ffff,-0.3114624,0.062072754,0.73376465,-0.600647
859,/motion/s1/aaWorld,iii,612,4216,6206,
859,/motion/s1/aaReal,iii,3846,-4742,-4403,
859,/motion/s1/aa,iii,6980,-12280,-5096,
859,/motion/s1/ypr,fff,199.52423,157.51175,264.75436,
865,/motion/s1/quat,ffff,-0.30560303,0.056518555,0.73443604,-0.6033325
865,/motion/s1/aaWorld,iii,496,3994,6190,
865,/motion/s1/aaReal,iii,3761,-4781,-4186,
865,/motion/s1/aa,iii,6880,-12324,-4884,
